id,name,image,type,equipament,charge,FP,effect,locations,dlc
153,White Shadow's Lure,http://eldenring.wiki.fextralife.com/file/Elden-Ring/white_shadow's_lure_gif_elden_ring_wiki_guide.gif,Regular,Can be used on all melee armaments.,No,15,"Hold armament in a brief, silent prayer to create a white shadow. The apparition lures in foes of human build who are not in combat, drawing their aggression. Effective on demi-humans even if they are already in a combat state.","Dropped by an invisible Teardrop Scarab in the Consecrated Snowfield, northwest of the Inner Consecrated Snowfield site of grace between the grace and Ordina, Liturgical Town. The scarab leaves glowing white tracks in the snow and is chased wherever it goes by a pack of five wolves.",0
154,Assassin's Gambit,http://eldenring.wiki.fextralife.com/file/Elden-Ring/assassin's_gambit.gif,Regular,Can be used on small and medium Straight Swords and Thrusting Swords.,No,5,Skill that masks the user's presence at the cost of a self-inflicted wound. Grants near-invisibility and silences footsteps.,Sold by Knight Bernahl in Volcano Manor for 6500 . Note that you will need to fulfill the first contract at Volcano Manor to have access to Knight Bernahl's shop. Elden Ring Map Link.,0
155,Mighty Shot,http://eldenring.wiki.fextralife.com/file/Elden-Ring/skill-mighty-shot-elden-ring-wiki-480px.gif,Regular,Can be used on Light Bows and Longbows.,No,-1,"Archery skill performed from an oblique stance. Ready the bow, then pull the bowstring to its limit to enhance the power of the shot, penetrating the enemy's guard.",Dropped by a Teardrop Scarab on the path from Limgrave towards Weeping Peninsula. Elden Ring Map Link.,0
156,Through and Through,http://eldenring.wiki.fextralife.com/file/Elden-Ring/through_and_through.gif,Regular,Can be used on Greatbows.,No,-1,"Powerful archery skill using a greatbow held in an oblique stance.Ready the greatbow, then twist the bowstring to fire a mighty greatarrow that can penetrate through enemies.","Default skill of the Greatbow.
Can be found on an Invisible Scarab just outside Volcano Manor in the Altus Plateau.",0
157,Barrage,http://eldenring.wiki.fextralife.com/file/Elden-Ring/barrage.gif,Regular,Can be used on Light Bows.,No,-1,"Archery Skill using a bow held horizontally. Ready the bow, then fire off a rapid succession of shots faster than the eye can see.","Default skill on the Shortbow.
Dropped by a Teardrop Scarab found in the narrow channel north of Seethewater River in Mt. Gelmir. Elden Ring Map Link.",0
158,Sky Shot,http://eldenring.wiki.fextralife.com/file/Elden-Ring/sky_shot.gif,Regular,Can be used Light Bows and Longbows.,No,-1,"Archery skill performed from a low stance. Ready the bow, then fire an arrow high up into the air, arcing so as to strike the enemy from abose when it comes down.",Dropped by a Teardrop Scarab found on the cliffs northwest of the Isolated Merchant's Shack in Dragonbarrow. Elden Ring Map Link.,0
159,Enchanted Shot,http://eldenring.wiki.fextralife.com/file/Elden-Ring/enchanted_shot.gif,Regular,Can be used on Light Bows and Longbows.,No,-1,Archery skill that enlivens the arrow with spiritual essence. The resulting shot will fly faster than regular shots and change its trajectory to follow the target.,"Dropped by a Teardrop Beetle hiding behind a rock near a brazier in Nokron, Eternal City. Elden Ring Map Link.",0
160,Rain of Arrows,http://eldenring.wiki.fextralife.com/file/Elden-Ring/skill-rain-of-arrows-elden-ring-wiki-480px.gif,Regular,Can be used on all Bows.,No,-1,"Archery skill performed from a low stance. Ready the bow, then fire a burst of arrows into the sky to shower the enemy with projectiles.","Can be found in Caelid, it appears at an edge of a cliff after you've looted the ""Redmane"" Painting in Sellia, Town of Sorcery. You'll find it down the cliff on a plateau south east of the Minor Erdtre. [Elden Ring Map Link]",0
161,Parry Skill,http://eldenring.wiki.fextralife.com/file/Elden-Ring/parry.gif,Regular,"Can be used on Daggers, Curved Swords, Thrusting Swords, Fists, Claws, and small and medium Shields.",No,-,Use this skill in time with a foe's melee attack to deflect it and break that foe's stance. This provides an opening to perform a critical hit.,"Sold by Knight Bernahl at the Warmaster's Shack for 600 . Elden Ring Map Link.
Can be purchased from Twin Maiden Husks at the Roundtable Hold after giving them Bernahl's Bell Bearing.",0
162,Golden Parry,http://eldenring.wiki.fextralife.com/file/Elden-Ring/golden_parry_gif_elden_ring_wiki_guide.gif,Regular,Can be used on small and medium Shields.,No,4,Perform an Erdtree incantation and swing the shield to deflect enemy attacks and break their stance. Effective even at a slight distance.,Dropped by a Teardrop Scarab within Capital Outskirts. Elden Ring Map Link.,0
163,Storm Wall,http://eldenring.wiki.fextralife.com/file/Elden-Ring/storm_wall_gif_elden_ring_wiki_guide.gif,Regular,Can be used on small and medium Shields,No,3,"Swing the shield to create a wall of storm winds in front of you, deflecting arrows and other such physical projectiles. Can also be used in the same way as a regular parry.",Can be found by defeating a Teardrop Scarab found by falling down from the collapsed bridge at the north of Stormhill next to Stormveil Castle. Elden Ring Map Link.,0
164,Shield Bash,http://eldenring.wiki.fextralife.com/file/Elden-Ring/skill-shield-bash-elden-ring-wiki-480px.gif,Regular,Can be used on all Shields.,No,10,"Brace behind shield before using bodyweight to ram foes while maintaining guarding stance.Weaker enemies will be shoved backwards, and can even be staggered.","Default skill for the Dragonclaw Shield and Briar Greatshield.
Liurnia of the Lakes: Dropped by a Teardrop Scarab under a bridge very close to East Gate Bridge Trestle site of grace. Elden Ring Map Link.
Dropped by a beetle in the island below the broken bridge connecting Raya Lucaria Academy and East Raya Lucaria Gate. Elden Ring Map Link.",0
165,Shield Crash,http://eldenring.wiki.fextralife.com/file/Elden-Ring/skill-shield-crash-elden-ring-wiki-480px.gif,Regular,Can be used on all Shields.,Yes,12,Two-hand the shield and charge forwards while maintaining guard. Weaker enemies will be shoved backwards and can even be staggered. Hold to extend the duration of the charge forwards.,"Dropped by a Teardrop Scarab in Lux Ruins, Altus Plateau. Elden Ring Map Link.",0
166,Barricade Shield,http://eldenring.wiki.fextralife.com/file/Elden-Ring/skill-barricade-shield-elden-ring-wiki-480px.gif,Regular,Can be used on all Shields.,No,12,"Focus your energy into your shield, temporarily hardening it todeflect greater blows.It can be used on all types of shield.","Dropped by Night's Cavalry at Weeping Peninsula. Elden Ring Map Link.
Dropped by Bloodhound Knight Darriwil in Forlon Hound Evergaol, Stormhill.",0
167,Thops's Barrier,http://eldenring.wiki.fextralife.com/file/Elden-Ring/thop's_barrier_gif_elden_ring_wiki_guide.gif,Regular,Can be used on small and medium Shields.,??,-,Erect a magical forcefield while swinging the shield to deflect sorceries and incantations. Can also be used in the same way as a regular parry.,In Church of Irith: Dropped by a Teardrop Scarab after delivering the spare Academy Glintstone Key to Thops. Reload the area after delivering the key to spawn the scarab. [Map Link],0
168,Carian Retaliation,http://eldenring.wiki.fextralife.com/file/Elden-Ring/carian_retaliation_gid_elden_ring_wiki_guide.gif,Regular,Can be used on light and medium Shields,No,8,"Swing the shield to dispel incoming sorceries and incantations, transforming the magic into retaliatory glintblades. Can also be used in the same way as a regular parry.","Sold by Pidia, Carian Servant at Caria Manor: on a balcony above the Manor Lower Level bonfire. Only accessible by dropping down the cliffs from the southwestern side of the Three Sisters sub-area.
In the western part of Liurnia is the Temple Quarter Grace Site. Directly to the northwest of it is a small island surrounded by flying beetles upon which is a beetle that drops this particular Ash of War. One can get to this location with little to no fighting of enemies, particularly if they skip past Stormveil Castle.",0
169,No Skill,https://eldenring.wiki.fextralife.com/file/Elden-Ring/ash_of_war_no_skill_elden_ring_wiki_guide_200px.png,Regular,Can be used on Shields and Torches.,-,0,"This armament has no skill. If the armament in the other hand has a skill, that skill will be used instead.""Usable on shields and torches","Sold by Knight Bernahl at the Warmaster's Shack for 600 . Elden Ring Map Link.
Can be purchased from Twin Maiden Husks at the Roundtable Hold after giving them Bernahl's Bell Bearing.",0
170,Torch Attack,http://eldenring.wiki.fextralife.com/file/Elden-Ring/skill-torch-attack-elden-ring-wiki-480px.gif,Unique,Can be used on all Torches.,No,-,Thrust your torch forward to set foes ablaze. This Skill is especially effective against foes who are weak to fire.,The Torch can be purchased from Kale in the Church of Elleh for 200 . Elden Ring Map Link.,0
171,Spinning Chain,http://eldenring.wiki.fextralife.com/file/Elden-Ring/skill-spinning-chain-elden-ring-wiki-480px.gif,Regular,Can be used on Flails.,No,8 (8 10),Spins the striking part of a flail at high speed to attack. Follow up with a normal or strong attack to link the momentum of this skill into a successful attack.,"Default skill on the Flail, Nightrider Flail and Chainlink Flail.",0
172,Firebreather,http://eldenring.wiki.fextralife.com/file/Elden-Ring/skill-firebreather-elden-ring-wiki-480px.gif,Unique,Steel-Wire Torch,No,8,"Blow into torch flame, spreading flames in a wide frontward arc. The flames on the ground will continue to burn for a short time.",Default skill of the Steel-Wire Torch.,0
173,Buckler Parry,http://eldenring.wiki.fextralife.com/file/Elden-Ring/buckler-parry-skill-elden-ring-wiki-guide.jpg,Unique,Buckler,No,-,Use this Skill in time with a foe's melee attack to deflect it and break that foe's stance.,Default skill for the Buckler.,0
174,Surge of Faith,http://eldenring.wiki.fextralife.com/file/Elden-Ring/skill-surge-of-faith-elden-ring-wiki-480px.gif,Unique,Cranial Vessel Candlestand,No,15 (-15),"Set the flames of Birac's faith ablaze in the cranial vessel, thenraise it aloft to rain down fireballs in all directions.Repeated inputs will continue to raise the armament aloft,continuing the attack.",Default skill on the Cranial Vessel Candlestand.,0
175,Flame Spit,http://eldenring.wiki.fextralife.com/file/Elden-Ring/skill-flame-spit-elden-ring-wiki-480px.gif,Unique,One-Eyed Shield,No,28,"Ready the shield, then launch a fireball from the barrel. The fireball explodes on impact.",Default skill on the One-Eyed Shield.,0
176,Tongues of Fire,http://eldenring.wiki.fextralife.com/file/Elden-Ring/skill-tongues-of-fire-elden-ring-wiki-480px.gif,Unique,Visage Shield,No,5,"Ready the shield, then spray violent jets of fire from the tongues protruding from its maw. Hold to continue spraying fire. This skill can be used while walking.",Default skill on the Visage Shield.,0
177,Oracular Bubble,http://eldenring.wiki.fextralife.com/file/Elden-Ring/skill-oracular-bubble-elden-ring-wiki-480px.gif,Unique,Envoy's Horn,No,6,Blow on the horn to release a magic bubble. The bubble floats gently through the air towards its target.,Default skill on the Envoy's Horn.,0
178,Bubble Shower,http://eldenring.wiki.fextralife.com/file/Elden-Ring/skill-bubble-shower-elden-ring-wiki-480px.gif,Unique,Envoy's Long Horn,No,16,Blow on the horn to release a spume of magic bubbles. The bubbles float gently before raining down on the target.,Default skill on the Envoy's Long Horn.,0
179,Great Oracular Bubble Skill,http://eldenring.wiki.fextralife.com/file/Elden-Ring/skill-great-oracular-bubble-elden-ring-wiki-480px.gif,Unique,Envoy's Greathorn,No,28,Blow on the horn to release a massive magic bubble. The bubble floats gently through the air towards its target.,Default skill on the Envoy's Greathorn.,0
180,Sea of Magma,http://eldenring.wiki.fextralife.com/file/Elden-Ring/skill-sea-of-magma-elden-ring-wiki-480px.gif,Unique,Magma Whip Candlestick,Yes,5 (-5),Swing a molten whip overhead to temporarily cover the surrounding area in a sea of magma. Hold to continue swinging the lava whip.,Default skill on the Magma Whip Candlestick.,0
181,Viper Bite,http://eldenring.wiki.fextralife.com/file/Elden-Ring/skill-viper-bite-elden-ring-wiki-480px.gif,Unique,Coil Shield,No,8,"Give the shield a quick shake to temporarily bring the bronze viper to life, inciting it to lash out and bite foes.",Default skill on the Coil Shield.,0
182,Moonlight Greatsword,http://eldenring.wiki.fextralife.com/file/Elden-Ring/skill-moonlight-greatsword-elden-ring-wiki-480px.gif,Unique,Dark Moon Greatsword,No,40,"Raise the sword aloft, bathing it in the light of the dark moon.Temporarily increases magic attack power and imbues blade with frost.Charged attacks release blasts of moonlight.",Default skill on the Dark Moon Greatsword.,0
183,Siluria's Woe,http://eldenring.wiki.fextralife.com/file/Elden-Ring/skill-silurias-woe-elden-ring-wiki-480px.gif,Unique,Siluria's Tree,Yes,25,"Thrust the treespear in a spiraling motion, surrounding it in a vortex of wind. Charged attacks have the power to blow away enemies and can fire the tornado forwards.",Default skill on the Siluria's Tree.,0
184,Rallying Standard,http://eldenring.wiki.fextralife.com/file/Elden-Ring/skill-rallying-standard-elden-ring-wiki-480px.gif,Unique,Commander's Standard,No,30,Hoist the war banner aloft and give a rallying command. Raises attack power and defense for self and nearby allies.,Default skill on the Commander's Standard.,0
185,Bear Witness!,http://eldenring.wiki.fextralife.com/file/Elden-Ring/skill-bear-witness-elden-ring-wiki-480px.gif,Unique,Grafted Dragon,No,20,"Grant the small dragon a fleeting glimpse of life and thrust it skyward, spewing flames over a wide frontward area.",Default skill on the Grafted Dragon.,0
186,Eochaid's Dancing Blade,http://eldenring.wiki.fextralife.com/file/Elden-Ring/skill-eochaids-dancing-blade-elden-ring-wiki-480px.gif,Unique,Marais Executioner's Sword Regalia of Eochaid,Yes,15,"Infuse the sword with energy, then fling it forwards in a corkscrew attack. The sword continuously deals damage while violently spinning. Charge the attack to increase reach and duration of the spin.","Default skill of the Marais Executioner's Sword.
Default skill on the Regalia of Eochaid.",0
187,Soul Stifler,http://eldenring.wiki.fextralife.com/file/Elden-Ring/soul_stifler_gif.gif,Unique,Winged Greathorn,??,12,Raise the greathorn's wings to summon a soul-sapping miasma. Enemies in the affected area will temporarily suffer from reduced defense.,Default skill on the Winged Greathorn.,0
188,Taker's Flames,http://eldenring.wiki.fextralife.com/file/Elden-Ring/skill-takers-flames-elden-ring-wiki-480px.gif,Unique,Blasphemous Blade,No,30,"Raise the sacred sword aloft to set it ablaze with blasphemous flames, then bring it down to fire off a forward blast.The flames steal HP from those they touch.",Default skill on the Blasphemous Blade.,0
189,Shriek of Milos,http://eldenring.wiki.fextralife.com/file/Elden-Ring/skill-shriek-of-milos-elden-ring-wiki-480px.gif,Unique,Sword of Milos,No,30,"Lets out a horrific cursed scream that reduces all damage negation and status resistances for nearby foes.While active, strong attacks will change to a combo attack.",Default skill on the Sword of Milos.,0
190,Reduvia Blood Blade,http://eldenring.wiki.fextralife.com/file/Elden-Ring/skill-reduvia-blood-blade-elden-ring-wiki-480px.gif,Unique,Reduvia dagger,No,6,"Slash with the wicked dagger, transforming its never-drying bloostains into airborne blood blades that cause hemorrhaging. Can be fired in rapid succession.",Defaul skill on the Reduvia dagger.,0
191,Glintstone Dart,http://eldenring.wiki.fextralife.com/file/Elden-Ring/skill-glintstone-dart-elden-ring-wiki-480px.gif,Unique,Glintstone Kris,Yes,10,Skill that builds from the Glintstone Pebble sorcery. Charge the skill to upgrade it to Glintstone Dart. Follow up with a strong attack to chain this skill into a lunging thrust.,Default skill on the Glintstone Kris Dagger.,0
192,Night-and-Flame Stance,http://eldenring.wiki.fextralife.com/file/Elden-Ring/skill-night-and-flame-stance-elden-ring-wiki-480px.gif,Unique,Sword of Night and Flame,No,- (19 23),"Hold the sword level and prepare to cast a sorcery. Follow up with a normal attack to cast the Night Comet sorcery, or a strong attack to sweep forward with a burst of flames.",Default skill on the Sword of Night and Flame.,0
193,Wave of Gold,http://eldenring.wiki.fextralife.com/file/Elden-Ring/wave-of-gold.gif,Unique,Sacred Relic Sword,No,50,"Imbue the sword with bygone golden glory, then fire it at foes.A wide, golden wave fans out forwards, sweeping through all enemies caught in its path.",Default skill on the Sacred Relic Sword.,0
194,Ruinous Ghostflame,http://eldenring.wiki.fextralife.com/file/Elden-Ring/skill-ruinous-ghostflame-elden-ring-wiki-480px.gif,Unique,Helphen's Steeple,No,20,"Swing the sword to bathe its blade in ghostflame. The ghostflame adds magic damage to attacks, and also has a bitterly cold bite.",Default skill on the Helphen's Steeple.,0
195,Establish Order,http://eldenring.wiki.fextralife.com/file/Elden-Ring/skill-establish-order-elden-ring-wiki-480px.gif,Unique,Golden Order Greatsword,No,20,"Raise the armament in a salute, releasing a golden explosion. Repeated inputs send out waves of golden light.",Default skill on the Golden Order Greatsword.,0
196,Mists of Slumber,http://eldenring.wiki.fextralife.com/file/Elden-Ring/skill-mists-of-slumber-elden-ring-wiki-480px.gif,Unique,Sword of St Trina,No,30,Releases a faint purple mist that spreads across a wide frontwards area.This mist inflicts the sleep ailment upon foes.,Default skill for the Sword of St Trina.,0
197,Spearcall Ritual,http://eldenring.wiki.fextralife.com/file/Elden-Ring/skill-spearcall-ritual-elden-ring-wiki-480px.gif,Unique,Death Ritual Spear,No,20,"Thrust the spear high, bearing prayers into the sky to summon a downpour of spectral spears.",Default skill on the Death Ritual Spear.,0
198,Wolf's Assault,http://eldenring.wiki.fextralife.com/file/Elden-Ring/skill-wolfs-assault-elden-ring-wiki-480px.gif,Unique,Royal Greatsword,No,20,"Infuse the greatsword with frost, then perform a forward somersault to plunge it into the ground. Then, pull it out to release a cold blast.",Default skill on the Royal Greatsword.,0
199,Thundercloud Form,http://eldenring.wiki.fextralife.com/file/Elden-Ring/skill-thundercloud-form-elden-ring-wiki-480px.gif,Unique,Dragon King's Cragblade,Yes,35,"Temporarily transform into a red thundercloud and fly through the air, then plunge down with a lightning-infused blade. Hold to increase the reach of the thundercloud form.",Default skill for the Dragon King's Cragblade.,0
200,Cursed-Blood Slice,http://eldenring.wiki.fextralife.com/file/Elden-Ring/skill-cursed-blood-slice-elden-ring-wiki-480px.gif,Unique,Morgott's Cursed Sword,No,20 (- 20),"Brace, then charge forward to deliver a downward diagonal slice. The bloody trail of the late is followed by a burst of flame. Additional input allows for a follow-up attack.",Default skill on the Morgott's Cursed Sword.,0
201,Waterfowl Dance,http://eldenring.wiki.fextralife.com/file/Elden-Ring/skill-waterfowl-dance-elden-ring-wiki-480px.gif,Unique,Hand of Malenia,No,12,Perform a series of one-footed leaps in the manner of a waterfowl to unleash a swift yet graceful slashing combo.Repeated inputs allow for up to two follow-up attacks.,Default skill on the Hand of Malenia.,0
202,Gold Breaker,http://eldenring.wiki.fextralife.com/file/Elden-Ring/skill-gold-breaker-elden-ring-wiki-480px.gif,Unique,Marika's Hammer,No,31,"Leap up high and, while suspended in midair, imbue the rune shard with light before smashing it down hard onto the ground.The heroic Radagon's signature attack.",Default skill on the Marika's Hammer.,0
203,"I Command Thee, Kneel!",http://eldenring.wiki.fextralife.com/file/Elden-Ring/skill-i-command-thee-kneel-elden-ring-wiki-480px.gif,Unique,Axe of Godrick,No,15,"Repeatedly smash the Axe of Godrick into the ground, unleashing two earth-shaking shockwaves.Follow up with an additional input to produce a third shockwave",This Skill can only be acquired by equipping Axe of Godrick.,0
204,Regal Roar,http://eldenring.wiki.fextralife.com/file/Elden-Ring/skill-regal-roar-elden-ring-wiki-480px.gif,Unique,Axe of Godfrey,No,25,"Let loose a mighty war cry, raising attack power, while sending out a shockwave that cannot be guarded against by stomping the ground. While active, strong attack becomes a lunging slash.",Default skill on the Axe of Godfrey.,0
205,Starcaller Cry,http://eldenring.wiki.fextralife.com/file/Elden-Ring/starcaller_cry_gif.gif,Unique,Starscourge Greatsword,??,20 (-20),"Bring the two swords together and roar into the skies, pulling in enemies with a gravitational wave. Follow up with an additional input to slam down with gravity-infused swords.",Default skill of the Starscourge Greatsword.,0
206,Wave of Destruction,http://eldenring.wiki.fextralife.com/file/Elden-Ring/skill-wave-of-destruction-elden-ring-wiki-480px.gif,Unique,Ruins Greatsword,No,25,"Raise the sword up high, then strike it against the ground to fire off a wave of gravitational force.",Default skill on the Ruins Greatsword.,0
207,Bloodboon Ritual,http://eldenring.wiki.fextralife.com/file/Elden-Ring/main_large2.gif,Unique,Mohgwyn's Sacred Spear,No,20 (-20),"Raise the sacred spear and pierce the body of the Formless Mother. Stab up to three times, creating explosions of blood with each thrust.This skill will coat the armament with bloodflame for a while.",Default skill on the Mohgwyn's Sacred Spear.,0
208,Flowing Form,http://eldenring.wiki.fextralife.com/file/Elden-Ring/skill-flowing-form-sword-elden-ring-wiki-480px.gif,Unique,Nox Flowing Sword,No,9,Temporarily transforms armament into its liquid form.Swing the armament like a whip to perform a sweeping slice over a wide area.,Default skill of the Nox Flowing Sword.,0
209,Flowing Form,http://eldenring.wiki.fextralife.com/file/Elden-Ring/skill-flowing-form-hammer-elden-ring-wiki-480px.gif,Unique,Nox Flowing Hammer,No,16,Temporarily transforms armament into its liquid form.Swing the armament like a whip to strike surroundings before slamming its teardrop-shaped head down.,Default skill of the Nox Flowing Hammer.,0
210,Blade of Death,http://eldenring.wiki.fextralife.com/file/Elden-Ring/skill-blade-of-death-elden-ring-wiki-480px.gif,Unique,Black Knife,No,25,"Unleash the power of the Rune of Death to fire off a blade-like projectile.In addition to dealing immediate damage, the blade reduces the enemy's maximum HP and continues to wear down HP for a while.",Default skill on the Black Knife.,0
211,Blade of Gold,http://eldenring.wiki.fextralife.com/file/Elden-Ring/skill-blade-of-gold-elden-ring-wiki-480px.gif,Unique,Blade of Calling,No,20,"Leap into the air, charging the armament with golden flames that are then shot at the enemy as a single, blade-like projectile. Inflicts holy damage.",Default skill on the Blade of Calling.,0
212,Destined Death,http://eldenring.wiki.fextralife.com/file/Elden-Ring/dfd4ad5a-7d23-4f0c-8e81-06bb2bbdd0cd.gif,Unique,Maliketh's Black Blade,No,40,"Set free the remnants of Destined Death, plunging the greatsword into the ground to summon a myriad of blades. In addition to dealing immediate damage, this attack reduces the enemy's maximum HP and continues to wear down HP for a short time.",Default skill on the Maliketh's Black Blade.,0
213,Spinning Wheel,http://eldenring.wiki.fextralife.com/file/Elden-Ring/skill-spinning-wheel-elden-ring-wiki-480px.gif,Unique,Ghiza's Wheel,No,3,Strike the wheel against the ground to set it spinning at top speed. Hold to keep the wheel spinning. Can be used while walking to push the armament into enemies.,Default skill on the Ghiza's Wheel.,0
214,Alabaster Lord's Pull,http://eldenring.wiki.fextralife.com/file/Elden-Ring/skill-alabaster-lords-pull-elden-ring-wiki-480px.gif,Unique,Alabaster Lord's Sword,No,15,"Thrust the armament into the ground to create a gravity well. In addition to dealing damage, this attack pulls enemies in. Has a greater area of effect than Gravitas.",Default skill on the Alabaster Lord's Sword.,0
215,Onyx Lord's Repulsion,http://eldenring.wiki.fextralife.com/file/Elden-Ring/skill-onyx-lords-repulsion-elden-ring-wiki-480px.gif,Unique,Onyx Lord's Greatsword,No,27,"Thrust the armament into the ground to create a gravity well. In addition to dealing damage, this attack sends enemies flying away.",Default skill on the Onyx Lord's Greatsword.,0
216,Oath of Vengeance,http://eldenring.wiki.fextralife.com/file/Elden-Ring/oath_of_vengeance_gif.gif,Unique,Grafted Blade Greatsword,??,20,"Swear an oath upon the greatsword to avenge the clan, temporarily raising all attributes for a certain duration. While the oath's effects are active, poise will also be increased.",Default skill on the Grafted Blade Greatsword.,0
217,Ice Lightning Sword,http://eldenring.wiki.fextralife.com/file/Elden-Ring/skill-ice-lightning-sword-elden-ring-wiki-480px.gif,Unique,Dragonscale Blade,No,25,Call down a bolt of ice lightning into the blade and bring it down upon a foe.The ice lightning effect will persist for a while.,Default skill on the Dragonscale Blade.,0
218,Regal Beastclaw,http://eldenring.wiki.fextralife.com/file/Elden-Ring/skill-regal-beastclaw-elden-ring-wiki-480px.gif,Unique,Beastclaw Greathammer,No,20,"Slam the hammer into the ground, rending the land asunder with the armament's five bestial claws.",Default skill on the Beastclaw Greathammer.,0
219,Flame Dance,http://eldenring.wiki.fextralife.com/file/Elden-Ring/skill-flame-dance-elden-ring-wiki-480px.gif,Unique,Giant's Red Braid,No,25,Imbue the red braid with the Giants' Flame and lash out in a wide range with a series of agile swings.,Default skill for the Giant's Red Braid.,0
220,Claw Flick,http://eldenring.wiki.fextralife.com/file/Elden-Ring/skill-claw-flick-elden-ring-wiki-480px.gif,Unique,Ringed Finger,No,14,"Cause the finger to swell, then flex to build up strength before giving enemies an almighty flick.",Default skill on the Ringed Finger.,0
221,Nebula,http://eldenring.wiki.fextralife.com/file/Elden-Ring/skill-nebula-sword-elden-ring-wiki-480px.gif,Unique,Bastard's StarsWing of Astel,No,25,Imbue the Naturalborn's stars with magic to perform a sweeping strike.This attack leaves a dark cloud of stars in its wake that lingers briefly before exploding.,"Default skill on the Bastard's Stars.
Defeult skill on the Wing of Astel.",0
222,Ghostflame Ignition,http://eldenring.wiki.fextralife.com/file/Elden-Ring/skill-ghostflame-ignition-elden-ring-wiki-480px.gif,Unique,Death's Poker,No,15,"Thrust out the barbed rod and set its tip alight with ghostflame.Follow up with a normal attack to set the ground ablaze with ghostflame, or a strong attack to trigger a massive explosion.",Default skill on the Death's Poker.,0
223,Ancient Lightning Spear,http://eldenring.wiki.fextralife.com/file/Elden-Ring/skill-ancient-lightning-spear-elden-ring-wiki-480px.gif,Unique,Bolt of Gransax,Yes,35,"Imbue the armament with the ancient dragons' red lightning, then throw it as a spear. Can be charged to increase its power.",Default skill on the Bolt of Gransax.,0
224,Frenzyflame Thrust,http://eldenring.wiki.fextralife.com/file/Elden-Ring/skill-frenzyflame-thrust-elden-ring-wiki-480px.gif,Unique,Vyke's War Spear,No,22,"Imbue the spear with the flame of frenzy and leap forwards, plunging it into the ground and setting off a maddening explosion. The skill inflicts both the enemy and the user with madness.",Default skill on Vyke's War Spear.,0
225,Miquella's Ring of Light,http://eldenring.wiki.fextralife.com/file/Elden-Ring/skill-miquellas-ring-of-light-elden-ring-wiki-480px.gif,Unique,Halo Scythe,No,11,Summon Miquella's shining halo and fire it forwards. Can be fired in rapid succession.,Default skill on the Halo Scythe.,0
226,Golden Tempering,http://eldenring.wiki.fextralife.com/file/Elden-Ring/skill-golden-tempering-elden-ring-wiki-480px.gif,Unique,Ornamental Straight Sword,No,30,"Cross the two swords to grant their attacks holy essence.While in effect, strong attack performs a dual-wielding combo attack.",Default skill on the Ornamental Straight Sword.,0
227,Last Rites,http://eldenring.wiki.fextralife.com/file/Elden-Ring/skill-last-rites-elden-ring-wiki-480px.gif,Unique,Golden Epitaph,No,25,Raise the epitaph to grant the effect of Sacred Order to yourselfand allies in the vicinity.Particularly effective at laying to rest Those Who Live in Death.,Default skill on the Golden Epitaph.,0
228,Unblockable Blade,http://eldenring.wiki.fextralife.com/file/Elden-Ring/skill-unblockable-blade-sword-elden-ring-wiki-480px.gif,Unique,Cipher Pata Coded Sword,No,25,"Imbue the cipher blade with light, extending its length, then strike with a sudden sweeping attack.This attack cannot be blocked.","Default skill on the Cipher Pata.
Default skill on the Coded Sword.",0
229,Corpse Wax Cutter,http://eldenring.wiki.fextralife.com/file/Elden-Ring/skill-corpse-wax-cutter-elden-ring-wiki-480px.gif,Unique,Gargoyle's Blackblade,No,20,Lost skill of ancient heroes.Lift the sword up high to release the power of corpse wax and launch it forwards as a blade-like projectile.,Default skill on the Gargoyle's Blackblade.,0
230,Zamor Ice Storm,http://eldenring.wiki.fextralife.com/file/Elden-Ring/skill-zamor-ice-storm-elden-ring-wiki-480px.gif,Unique,Zamor Curved Sword,No,15,"Plunge the curved sword into the ground, building power before unleashing a freezing storm that batters the surroundings.",Default skill on the Zamor Curved Sword.,0
231,Radahn's Rain,http://eldenring.wiki.fextralife.com/file/Elden-Ring/skill-radahns-rain-elden-ring-wiki-480px.gif,Unique,Lion Greatbow,No,- (25 -),Archery skill performed from a low stance. Ready the bow and fire a sudden flurry of arrows up into the sky. The arrows will pour on foes like rain.,Default skill of the Lion Greatbow.,0
232,The Queen's Black Flame,http://eldenring.wiki.fextralife.com/file/Elden-Ring/skill-the-queens-black-flame-elden-ring-wiki-480px.gif,Unique,Godslayer Greatsword,No,15,Set the blade ablaze with the god-slaying black flame before delivering a sweeping slash. Additional input allows for a follow-up attack. The black flames will continue to wear down HP for a while.,Default skill on the Godslayer Greatsword.,0
233,Dynast's Finesse,http://eldenring.wiki.fextralife.com/file/Elden-Ring/skill-dynasts-finesse-elden-ring-wiki-480px.gif,Unique,Bloody Helice,No,5 ( -7),"Nimbly avoid an attack, securing some distance from foes. Follow up with strong attack to perform a sudden lunge, and press strong attack again to perform a sweeping slice.",Default skill on the Bloody Helice.,0
234,Magma Shower,http://eldenring.wiki.fextralife.com/file/Elden-Ring/skill-magma-shower-elden-ring-wiki-480px.gif,Unique,Magma Blade,No,12,Slash at foes in a twirling motion while scattering magma all around.Additional input allows for a follow-up attack.,Default skill on the Magma Blade.,0
