id,name,image,region,items,npcs,creatures,bosses,description,dlc
91,Church of Pilgrimage,http://eldenring.wiki.fextralife.com/file/Elden-Ring/church-of-pilgrimage-location-eldenring-wiki-guide.jpg,Weeping Peninsula,"['Mushroom', 'Blood Grease', 'Erdleaf Flower', 'Herba', 'Ruin Fragment', 'Rowa Fruit', 'Tarnished Golden Sunflower', 'Golden Centipede', 'Sacred Tear', 'Gilded Iron Shield', 'Warhawk Ashes']",['Melina '],"['Eagle', 'Sheep', 'Skeleton', 'Skeletal Bandit', 'Springhare']",,The Church of Pilgrimage is a broken building situated at the top of the cliff in the north of the Weeping Peninsula. Even with the walls and roof destroyed pilgrims still make the journey to visit this church.,0
92,Demi-Human Forest Ruins,http://eldenring.wiki.fextralife.com/file/Elden-Ring/demi-human-forest-ruins-weeping-peninsula-location-elden-ring-wiki-guide-300px.jpeg,Weeping Peninsula,"['Arteria Leaf', 'Gold-Tinged Excrement', ""Trina's Lily"", 'Poisonbloom', 'Shield of the Guilty', ""Demi-Human Queen's Staff"", 'Crystal Burst', 'Faith-knot Crystal Tear']",,"['Demi-Human', 'Demi-Human Queen']",,"Demi-Humans congregate here to worship their queen. Defeating her will reward players with the Demi-Human Queen's Staff, which is excellent for beginner mages.",0
93,Earthbore Cave,http://eldenring.wiki.fextralife.com/file/Elden-Ring/earthbore-cave-location-elden-ring-wiki-guide.jpg,Weeping Peninsula,"['Cave Moss', 'Silver Firefly', ""Trina's Lily"", 'Pickled Turtle Neck', 'Kukri', 'Glowstone', 'Golden Rune [1]', 'Smoldering Butterfly', 'Spelldrake Talisman']",,"['Rat', 'Giant Rat']",['Runebear'],Earthbore Cave is a small dark cave on the side of the Cliffside between Limgrave and Weeping Peninsula. One might be able to hear the squeaks of rats and the snoring of a large beast deep within if you listen closely.,0
94,Forest Lookout Tower,http://eldenring.wiki.fextralife.com/file/Elden-Ring/forest-lookout-tower-weeping-peninsula-location-elden-ring-wiki-300px-min-min.jpeg,Weeping Peninsula,"['Smoldering Butterfly', 'Hand Ballista', 'Ballista Bolt']",['NPCs'],"['Miranda Sprout', 'Soldier', 'Rotten Stray']",,"A run-down tower built on the edge of the cliffs of the Weeping Peninsula, located west of the Bridge of Sacrifice.",0
95,Fourth Church of Marika,http://eldenring.wiki.fextralife.com/file/Elden-Ring/fourth_church_of_marika_locations_elden_ring_wiki_guide.jpg,Weeping Peninsula,"['Rowa Fruit', 'Sacred Tear']",,['Mausoleum Soldier'],,"The ruins of a lonely church, sitting atop a plateau west of the peninsula. Despite its current state, the altar remains intact and ghostly knights still roam the fields nearby, perhaps restless and duty-bound to safeguarding the area...",0
96,Impaler's Catacombs,http://eldenring.wiki.fextralife.com/file/Elden-Ring/impalers-catacombs-entrance-location-elden-ring-wiki-guide.jpg,Weeping Peninsula,"['Grave Violet', 'Grave Glovewort (1)', 'Grave Glovewort (2)', 'Ghost Glovewort (2)', 'Prattling Pate ""Please help""', 'Demi-Human Ashes']",,"['Imp', 'Putrid Corpse']",['Erdtree Burial Watchdog'],"The Impaler's Catacombs are found in the east side of the Weeping Peninsula. Once used to store the bodies of the dead, it is now crawling with Imps.",0
97,Isolated Merchant's Shack Weeping Peninsula,http://eldenring.wiki.fextralife.com/file/Elden-Ring/isolated_merchant_npcs_elden_ring_wiki_guide.jpg,Weeping Peninsula,"['Arteria Leaf', 'Herba', 'Arrow', 'Ballista Bolt', 'Bolt', 'Great Arrow', 'Sacrificial Twig', 'Zweihander', 'Lantern', 'Lost Ashes of War', 'Info: Walking Mausoleum', 'Stonesword Key']",['Isolated Merchant'],,,"Found at the western edge of the Weeping Peninsula, this lonesome hut is home to but a single person who has long adapted to a life of seclusion.",0
98,Minor Erdtree (Weeping Peninsula),http://eldenring.wiki.fextralife.com/file/Elden-Ring/minor-erdtree-weeping-peninsula-location-elden-ring-wiki-guide-300px-min-min-min-min.jpeg,Weeping Peninsula,"['Tarnished Golden Sunflower', 'Erdleaf Flower', 'Mushroom', 'Sanctuary Stone', 'Rowa Fruit', 'Sliver of Meat', 'Golden Rune (6)', 'Opaline Bubbletear', 'Crimsonburst Crystal Tear']",,"['Sheep', 'Turtle', 'Demi-Human', 'Guardian', 'Giant Bat', 'Crimson Teardrop Scarab', 'Chanting Winged Dame']",['Erdtree Avatar'],One of the large Erdtree's found in the Weeping Peninsula. An Erdtree Avatar charges at those who approach,0
99,Morne Tunnel,http://eldenring.wiki.fextralife.com/file/Elden-Ring/morne-tunnel-location-elden-ring-wiki-guide.jpg,Weeping Peninsula,"['Soft Cotton', 'Arteria Leaf', 'Exalted Flesh', 'Golden Rune [2]', 'Golden Rune [4', 'Stanching Boluses', 'Large Glintstone Scrap', 'Smithing Stone [1]', 'Somber Smithing Stone [1]', 'Rusted Anchor']",['NPCs'],"['Miner', 'Misbegotten']",['Scaly Misbegotten'],A dark and hidden tunnel that is inhabited by Misbegottens and Miners.,0
100,Oridys's Rise,http://eldenring.wiki.fextralife.com/file/Elden-Ring/oridyss-rise-location-elden-ring-wiki-guide.jpg,Weeping Peninsula,['Memory Stone'],,,,"A lone observation tower atop a plateau in the east of the Weeping Peninsula. Long since abandoned, the entrance is barred by a seal, presenting travelers with a small challenge.",0
101,Tombsward Catacombs,http://eldenring.wiki.fextralife.com/file/Elden-Ring/tombsward-catacombs-location-elden-ring-wiki-guide.jpg,Weeping Peninsula,"['Grave Violet', 'Human Bone Shard', 'Golden Rune [2]', 'Grave Glovewort [1]', '\xa0 ', 'Ghost Gloveworth [1]', ""Nomadic Warrior's Cookbook [9]"", 'Lhutel the Headless', 'Prattling Pate ""Thank you""']",,['Grossmesser'],['Cemetery Shade'],"The Tombsward Catacombs are hidden inside the mountain near the Minor Erdtree in the Weeping Peninsula. Once filled with the bodies of the dead, armed skeletons now rise to chase away those that wish to explore its depths.",0
102,Tombsward Cave,http://eldenring.wiki.fextralife.com/file/Elden-Ring/tombsward-cave-location-elden-ring-wiki-guide-300px-min-min-min-min-min.jpeg,Weeping Peninsula,"['Cave Moss', 'Poisonbloom', 'x1 Arteria Leaf', 'x1 Immunizing Cured Meat', 'Golden Rune [2]', 'Poisonbone Dart', 'Furlcalling Finger Remedy', 'Viridian Amber Medallion', ""Nomadic Warrior's Cookbook [8]""]",,"['Miranda Sprout', 'Servant of Rot', 'Rat', 'Giant Rat', 'Skeletal Slime']",['Miranda the Blighted Bloom'],Hidden cave in the forest teeming with poison-filled creatures.,0
103,Tombsward Ruins,http://eldenring.wiki.fextralife.com/file/Elden-Ring/tombsward-ruins-weeping-peninsula-location-elden-ring-wiki-guide-300px-min.jpeg,Weeping Peninsula,"['Beast Liver', 'Erdleaf Flower', 'Rowa Fruit', ""Trina's Lily"", 'Winged Scythe', 'Page Hood']",,"['Rat', 'Page']",,"The ruins of a former burial ground. Next to nothing remains here, yet squires still roam the dark tunnels beneath. Perhaps protecting the graves of their former noble masters...",0
104,Tower of Return,http://eldenring.wiki.fextralife.com/file/Elden-Ring/tower-of-return-weeping-peninsula-location-elden-ring-wiki-guide-300px.jpeg,Weeping Peninsula,"['Great Dragonfly Head', 'Rowa Fruit', 'Bolt']",,"['Wandering Nobles', 'Godrick Foot Soldier', 'Godrick Soldier', 'Godrick Knight']",,"A dilapidated tower guarded by foot soldiers and mounted cavalry. Makeshift wooden platforms and ladders line the inside of the tower, allowing it to retain some function as a lookout point and a mount for ballistae.",0
105,Weeping Evergaol,http://eldenring.wiki.fextralife.com/file/Elden-Ring/weeping_gaol_locations_elden_ring_wiki_guide.jpg,Weeping Peninsula,"['Tarnished Golden Sunflower', ""Radagon's Scarseal""]",,,['Ancient Hero of Zamor'],An evergaol located on the western landmass of the Weeping Peninsula. A formidable opponent is imprisoned within.,0
106,Witchbane Ruins,http://eldenring.wiki.fextralife.com/file/Elden-Ring/witchbane_ruins_locations_elden_ring_wiki_guide.jpg,Weeping Peninsula,"['Erdleaf Flower', 'Great Dragonfly Head', 'Poisonbloom', 'Ambush Shard', 'Marionette Soldier Set', 'Spiked Spear']","['Sorceress Sellen', 'Witch-Hunter Jerren']","['Marionette Soldier', 'School of Graven Mages']",,"A set of ruins found in western Weeping Peninsula. Overgrown with thick shrubs and poisonous pools, this decrepit landmark invites only misery and dread.",0
107,Academy Crystal Cave,http://eldenring.wiki.fextralife.com/file/Elden-Ring/academy-crystal-cave-location-elden-ring-wiki-guide-300px.jpg,Liurnia of the Lakes,"['Budding Cave Moss', 'Crystal Cave Moss', 'Cave Moss', 'Cuckoo Glintstone', 'Rune Arc', 'Silver Firefly', 'Crystal Release', 'Terra Magica', 'Crystal Staff', 'Stonesword Key']",,"['Giant Rat', 'Glintstone Sorcerer', 'Twinsage Sorcerer', 'Battlemage']",['Crystalians'],"The depths of the Raya Lucaria Academy are rich in rose-tinted crystals, imbued with the natural magic of the area.",0
108,Academy Gate Town,http://eldenring.wiki.fextralife.com/file/Elden-Ring/academy-gate-town-location-elden-ring-wiki-guide-300px.jpeg,Liurnia of the Lakes,"['Rainbow Stone', ""Trina's Lily"", 'Arteria Leaf', 'Glintstone Firefly', 'Smithing Stone (2)', 'Smithing Stone (1)', 'Somber Smithing Stone (2)', 'Golden Seed', 'Map (Liurnia, North)', 'Ash of War: Charge Forth', ""Glintstone Craftsman's Cookbook [4]""]","['Finger Reader Crone', 'Diallos']","['Albinauric', 'Marionette Soldier', 'Raya Lucaria Soldier', 'Land Squirt', 'Teardrop Scarab']",,The sunken remains of the academy town.,0
109,Ainsel River Well,http://eldenring.wiki.fextralife.com/file/Elden-Ring/ainsel-river-well-location-elden-ring-wiki-guide.jpg,Liurnia of the Lakes,,,['Golem'],,A small structure housing a lift that takes you down to the Ainsel River.,0
110,Artist's Shack (Liurnia of the Lakes),http://eldenring.wiki.fextralife.com/file/Elden-Ring/artist's_shack_locations_elden_ring_wiki_300px.jpg,Liurnia of the Lakes,"['Golden Rune [1]', 'Smithing Stone [4]', 'Resurrection Painting']",,['Leyndell Knight'],,A small cabin at North Liurnia of The Lakes. Its strongly perceived tranquility seems overshadowed by oblivion.,0
111,Bellum Church,http://eldenring.wiki.fextralife.com/file/Elden-Ring/bellum_church_location_elden_ring_wiki_guide_300px.jpg,Liurnia of the Lakes,"['Golden Centipede', 'Sacred Tear', 'Nightrider Glaive', 'Ash of War: Giant Hunt']","['Hyetta', 'Nomadic Merchant North Liurnia of the Lakes']",,"[""Night's Cavalry""]",Located past the ruins and the forested area guarded by Cuckoo Knights.,0
112,Bellum Highway,http://eldenring.wiki.fextralife.com/file/Elden-Ring/bellum-highway-location-elden-ring-wiki-guide-300px-exterior-min-min.jpeg,Liurnia of the Lakes,"['Rune Arc', 'Golden Centipede', 'Sacred Tear', 'Nightrider Glaive', 'Ash of War: Giant Hunt']","['Hyetta', 'Nomadic Merchant\xa0']",['Mausoleum Knight'],"[""Night's Cavalry""]",Outside the East Raya Lucaria Gate,0
113,Black Knife Catacombs,http://eldenring.wiki.fextralife.com/file/Elden-Ring/black-knife-catacombs-entrance-location-elden-ring-wiki-guide.jpg,Liurnia of the Lakes,"['Grave Violet', 'Crab Eggs', 'Spellproof Dried Liver', 'Rune Arc', 'Root Resin', 'Grave Glovewort (2)', 'Grave Glovewort (3)', 'Grave Glovewort (4)', ""Assassin's Cerulean Dagger"", ""Rosus' Axe"", 'Black Knifeprint', 'Twinsage Sorcerer Ashes', 'Deathroot']",,"['Skeleton', 'Crab', 'Giant Crab', 'Necromancer']","['Black Knife Assassin', 'Cemetery Shade']","The dreaded catacombs holds many skeletons that can revive until properly killed, but also holds the Black Knifeprint, a key item in a certain quest.",0
114,Boilprawn Shack,http://eldenring.wiki.fextralife.com/file/Elden-Ring/boilprawn_shack_locations_elden_ring_wiki_guide.jpg,Liurnia of the Lakes,"['Boiled Prawn', ""Rya's Necklace"", 'Gesture']",['Blackguard Big Boggart'],,,"Small run-down shack in the swamps of Liurnia. The Blackguard is said to reside here, cooking prawns.",0
115,Caria Manor,http://eldenring.wiki.fextralife.com/file/Elden-Ring/caria_manor_locations_elden_ring_wiki_guide.jpg,Liurnia of the Lakes,"['Crystal Bud', 'Golden Rune (4)', 'Herba', ""Miquella's Lily"", 'Mushroom', 'Magic Grease', 'Rune Arc', 'Rimed Crystal Bud', 'Rowa Fruit', 'Golden Seed', 'Smithing Stone (3)', 'Smithing Stone (4)', 'Somber Smithing Stone (3)', 'Carian Piercer', 'Crystal Dart', 'Ice Crest Shield', 'Sword of Night and Flame', 'Urumi', ""Loretta's Greatbow"", 'Ash of War: Carian Grandeur', ""Ash of War: Loretta's Slash"", 'Cracked Pot', ""Glintstone Craftsman's Cookbook (6)"", 'Stonesword Key']","['Pidia, Carian Servant']","['Abductor Virgin', 'Direwolf', 'Lazuli Sorcerer', 'Fingercreeper', 'Giant Crab', 'Lesser Fingercreeper', 'Living Jar', 'Page', 'Raya Lucaria Soldiers', 'Troll Knight']",['Royal Knight Loretta'],"A large estate situated far to the north of Liurnia. Heavily guarded by all manner of creatures as well as its eternal warden, the spectral Royal Knight Loretta.",0
116,Carian Study Hall,http://eldenring.wiki.fextralife.com/file/Elden-Ring/8ef42fdc-7aba-4cb4-8906-15ad073dfc1f.png,Liurnia of the Lakes,"['Golden Rune [3]', 'Holyproof Dried Liver', 'Glintstone Firefly', 'Cerulean Seed Talisman', 'Carian Glintstone Staff', 'Mask of Confidence']",,['Lesser Fingercreeper'],['Preceptor Miriam'],A large library-like location full of spectres and magic users that leads to the Divine Tower of Liurnia. Using the Carian Inverted Statue unlocks an alternative version of the map.,0
117,Cathedral of Manus Celes,http://eldenring.wiki.fextralife.com/file/Elden-Ring/cathedral_of_manus_celes-location-elden-ring-wiki-guide-300px-exterior-min.jpeg,Liurnia of the Lakes,"['Dragon Heart', 'Starlight Shards', ""Adula's Moonblade"", 'Dark Moon Greatsword']",['Ranni the Witch'],,['Glintstone Dragon Adula'],"A large church atop the southern plateau of Liurnia. Ranni awaits her lord in the depths of the church, guarded by her loyal Dragon.",0
118,Chelona's Rise,http://eldenring.wiki.fextralife.com/file/Elden-Ring/chelona's_rise-location-elden-ring-wiki-guide-300px-exterior-min.jpeg,Liurnia of the Lakes,"['Rowa Fruit', 'Smithing Stone (7)', 'Smithing Stone (8)', ""Ranni's Dark Moon""]",,"['Crystalian', 'Deer', 'Lesser Red Wolf of Radagon', 'Turtle']",,A tower overlooking the southwestern-most tip of Liurnia of the lakes.,0
119,Church of Inhibition,http://eldenring.wiki.fextralife.com/file/Elden-Ring/church-of-inhibition-location-elden-ring-wiki-guide-300px.jpeg,Liurnia of the Lakes,"['Eye of Yelough', 'Gold-Tinged Excrement', 'Rowa Fruit', 'Erdleaf Flower', 'Sacred Tear', 'Finger Maiden Fillet', 'Finger Maiden Robe', 'Finger Maiden Shoes']",['White Mask Varre'],['Festering Fingerprint Vyke (Invader)'],,"The remnants of an old church in the north of Liurnia, just before the Altus Plateau.",0
120,Church of Irith,http://eldenring.wiki.fextralife.com/file/Elden-Ring/church_of_irith_locaiton_elden_ring_wiki_guide_300px.jpg,Liurnia of the Lakes,"['Mushroom', 'Warming Stone', 'Sacred Tear', ""Ash of War: Thops's Barrier""]",['Thops'],['Teardrop Scarab'],,A peaceful church at the back of Stormveil Castle.,0
121,Church of Vows,http://eldenring.wiki.fextralife.com/file/Elden-Ring/church_of_vows_locations_elden_ring_wiki_300px.jpg,Liurnia of the Lakes,"['Golden Tailoring Tools', 'Gold Sewing Needle', 'Magic Glintblade', 'Carian Greatsword', ""Blessing's Boon""]","['Miriel, Pastor of Vows']",,['Bell Bearing Hunter'],"It is here, at the Church of Vows, that the great houses of the Erdtree and the Moon were joined by the matrimonial bond between red-haired Radagon and Rennala of the Full Moon. That is why it holds in view the monuments of both houses, the Erdtree of the Capital and the Academy of Raya Lucaria.",0
122,Cliffbottom Catacombs,http://eldenring.wiki.fextralife.com/file/Elden-Ring/cliffbottom-catacombs-entrance-location-elden-ring-wiki-guide.jpg,Liurnia of the Lakes,"['Grave Violet', 'Root Resin', 'Hefty Beast Bone', 'Grave Glovewort (2)', 'Grave Glovewort (3)', 'Ghost Glovewort (3)', 'Nox Mirrorhelm', 'Scythe', 'Warped Axe', 'Rune Arc', 'Prattling Pate ""Wonderful""', 'Page Ashes', 'Kaiden Sellsword Ashes']",,"['Imp', 'Omen']",['Erdtree Burial Watchdog'],"Catacombs found at the bottom of the cliffs in the eastern side of the Liurnia of the Lakes region, now infested by Imps and Omens",0
123,Converted Fringe Tower,http://eldenring.wiki.fextralife.com/file/Elden-Ring/converted-fringe-tower-location-elden-ring-wiki-guide-300px-min.jpeg,Liurnia of the Lakes,"['Eye of Yelough', ""Miquella's Lily"", 'Mushroom', 'Crystal Dart', 'Cannon of Haima', 'Gavel of Haima']",,['School of Graven Mages'],,A tower found on the fringe in the northeastern tip of Liurnia.,0
124,Converted Tower,http://eldenring.wiki.fextralife.com/file/Elden-Ring/converted_tower_locations_elden_ring_wiki_guide_300x.jpg,Liurnia of the Lakes,"['Cuckoo Glintstone', 'Magic Grease', 'Memory Stone']",,,,An abandoned tower overlooking the lakes from the southwest.,0
125,Cuckoo's Evergaol,http://eldenring.wiki.fextralife.com/file/Elden-Ring/cuckoos_evergaol_locations_elden_ring_wiki_guide.jpg,Liurnia of the Lakes,['Greatblade Phalanx'],,['Lookout Stones'],"['Bols, Carian Knight']",Evergaol located on the western landmass of Liurnia. A powerful knight stirs within.,0
126,Deep Ainsel Well,http://eldenring.wiki.fextralife.com/file/Elden-Ring/deep-ainsel-well-locations-elden-ring-wiki-guide-300px.jpg,Liurnia of the Lakes,,,,,A deep well leading to the Moonlight Altar from the underground Grand Cloister.,0
127,Divine Tower of Liurnia,http://eldenring.wiki.fextralife.com/file/Elden-Ring/divine-tower-of-liurnia-locations-elden-ring-wiki-guide-300px.jpg,Liurnia of the Lakes,"['Stargazer Heirloom', 'Godskin Noble Hood', 'Godskin Noble Robe', 'Godskin Noble Bracelets', 'Godskin Noble Trousers', 'Cursemark of Death']",,,['Godskin Noble'],A long bridge leads to the nearly empty Tower of Liurnia where a corpse lies at the peak.,0
128,Frenzied Flame Village,http://eldenring.wiki.fextralife.com/file/Elden-Ring/frenzied_flame_village-location-elden-ring-wiki-guide-300px-min-min.jpeg,Liurnia of the Lakes,"['Eye of Yelough', 'Rowa Fruit', 'Crystal Bud', ""Shabriri's Woe"", 'Howl of Shabriri', ""Frenzied's Cookbook (1)"", 'Stonesword Key']",,"['Frenzied Villager', 'Raya Lucaria Knight', 'Festering Fingerprint Vyke']",,A village in Liurnia gripped in the madness of Three Fingers. Its denizens know nothing but the fiery frenzy burning within them.,0
129,Frenzy-Flaming Tower,http://eldenring.wiki.fextralife.com/file/Elden-Ring/frenzy-flaming-tower-location-elden-ring-wiki-guide-300px.jpeg,Liurnia of the Lakes,['Howl of Shabriri'],,"['Frenzied Villager', 'Giant Rat', 'Rats']",,"A tower in north-east Liurnia of the Lakes, atop which is a giant flame causing madness in the surrounding area.",0
130,Grand Lift of Dectus,http://eldenring.wiki.fextralife.com/file/Elden-Ring/grand_lift_of_dectus_locations_elden_ring_wiki_guide.jpg,Liurnia of the Lakes,"['Great Mace', 'Stonesword Key']",,,,"A massive lift platform found between Liurnia and the Altus Plateau. The mechanism that operates the lift is barred by four Guardian Statues, requiring the brandishing of a special artifact for them to release their hold.",0
131,Highway Lookout Tower Liurnia of the Lakes,http://eldenring.wiki.fextralife.com/file/Elden-Ring/highway_lookout_tower-location-elden-ring-wiki-guide-300px-min-min-min.jpeg,Liurnia of the Lakes,"['Golden Rune [4]', 'Carian Glintblade Staff', ""Glintstone Craftsman's Cookbook (3)""]",,"['Godrick Knight', 'Noble Sorcerer', 'Twinsage Sorcerer']",,A lone tower overlooking the Liurnia main road on the eastern landmass.,0
132,Jarburg,http://eldenring.wiki.fextralife.com/file/Elden-Ring/jarburg-location-elden-ring-wiki-guide.jpg,Liurnia of the Lakes,"['Arteria Leaf ', 'Crystal Bud', 'Erdleaf Flower', 'Eye of Yelough', 'Golden Rune [1]', 'Golden Rune [2]', 'Golden Rune [3]', 'Golden Rune [6]', 'Grave Violet', 'Herba', 'Living Jar Shard', ""Miquella's Lily"", 'Mushroom', ""Numen's Rune"", 'Poisonbloom', 'Rowa Fruit', 'Tarnished Golden Sunflower', ""Trina's Lily"", 'Smithing Stone (3)', ""Hoslow's Petal Whip"", ""Diallos's Mask"", 'Companion Jar', 'Cracked Pot', 'Ritual Pot']","['Jar Bairn', 'Diallos']",['Living Jar'],,"A peaceful village hidden on the side of a cliff. It is home to many friendly Jars, who only wish to be left alone.",0
133,Kingsrealm Ruins,http://eldenring.wiki.fextralife.com/file/Elden-Ring/kingsrealm_ruins_locations_elden_ring_wiki_guide.jpg,Liurnia of the Lakes,"['Rowa Fruit', 'Mushroom', 'Rimed Crystal Bud\xa0 ', 'Frozen Needle']",['Kingsrealm Spirit'],"['Lone Wolf', 'Wandering Nobles']",['Royal Revenant'],"A ruined area, only seemingly bare.",0
134,Lakeside Crystal Cave,http://eldenring.wiki.fextralife.com/file/Elden-Ring/lakeside-crystal-cave-location-elden-ring-wiki-guide.jpg,Liurnia of the Lakes,"['Arteria Leaf', 'Cave Moss', 'Budding Cave Moss', 'Crystal Cave Moss', 'Silver Firefly', 'Soft Cotton', 'Hefty Beast Bone', 'Throwing Dagger', 'Lump of Flesh', 'Smithing Stone (4)', 'Smithing Stone (2)', 'Spear Talisman', 'Throwing Dagger', 'Cerulean Amber Medallion']",,"['Crystal Snail', 'Demi-Human', 'Lesser Demi-Human Chief']",['Bloodhound Knight '],"Hidden on the southwestern cliffs of Liurnia of the Lakes, a winding cave carved by large crystals.",0
135,Laskyar Ruins,http://eldenring.wiki.fextralife.com/file/Elden-Ring/laskyar_ruins_locations_elden_ring_wiki_guide.jpg,Liurnia of the Lakes,"['Bloodrose', 'Grave Violet', 'Mushroom', 'Rowa Fruit', ""Trina's Lily"", 'Smithing Stone [3]', 'Wraith Calling Bell', 'Ritual Pot', ""Glintstone Craftsman's Cookbook [2]""]",,"['Revenant', 'Wraith Caller']",,"Ruins of a sunken structure beset by fog, found amidst the marshes of south Liurnia.",0
136,Lunar Estate Ruins,http://eldenring.wiki.fextralife.com/file/Elden-Ring/lunar-estate-ruins-location-elden-ring-wiki-guide-300px-min.jpeg,Liurnia of the Lakes,"['Rowa Fruit', 'Golden Rune (8)', 'Smithing Stone (8)', 'Cerulean Amber Medallion +2']",,"['Revenant', 'Wraith Caller']",,The ruins of a large estate found atop the southwestern plateau of Liurnia.,0
137,Malefactor's Evergaol,http://eldenring.wiki.fextralife.com/file/Elden-Ring/malefactors_evergaol_locations_elden_ring_wiki_guide.jpg,Liurnia of the Lakes,['Flame of the Fell God'],,,"['Adan, Thief of Fire']",An evergaol overlooking the vast lakes. A flame-wielding thief resides within.,0
138,Minor Erdtree (Liurnia Northeast),http://eldenring.wiki.fextralife.com/file/Elden-Ring/minor-erdtree-liurnia-ne-location-elden-ring-wiki-guide-300px.jpeg,Liurnia of the Lakes,"['Tarnished Golden Sunflower', 'Mushroom', 'Rowa Fruit', 'Erdleaf Flower', 'Magic-Shrouding Cracked Tear', 'Lightning-Shrouding Cracked Tear', 'Holy-Shrouding Cracked Tear']",,['Ancestral Follower'],['Erdtree Avatar'],A Minor Erdtree standing tall in the northeast of Liurnia. Its base is home to the spirits of the Minotaur-like Ancestral Followers.,0
139,Minor Erdtree (Liurnia Southwest),http://eldenring.wiki.fextralife.com/file/Elden-Ring/minor-erd-tree-location-elden-ring-wiki-300px.jpeg,Liurnia of the Lakes,"['Erdleaf Flower', 'Herba', 'Mushroom', 'Rowa Fruit', 'Cerulean Crystal Tear', 'Ruptured Crystal Tear', 'Ash of War: Sword Dance']",,"['Giant Bat', 'Guardian', 'Sheep', 'Spirit Jellyfish', 'Teardrop Scarab']",['Erdtree Avatar'],This ancient Erdtree overlooks the lakes from the southwest.,0
140,Moonfolk Ruins,http://eldenring.wiki.fextralife.com/file/Elden-Ring/moonfolk_ruins-location-elden-ring-wiki-guide-300px-min-min-min-min.jpeg,Liurnia of the Lakes,"['Mushroom', 'Herba', 'Rowa Fruit', 'Somber Smithing Stone (8)']",,"['Deer', 'Noble Sorcerer']",,Ruins found in the southwest of the Liurnia of the Lakes region,0
141,Moonlight Altar,http://eldenring.wiki.fextralife.com/file/Elden-Ring/moonlight_altar_icon.png,Liurnia of the Lakes,"['Glintstone Firefly', 'Herba', 'Mushroom', 'Rowa Fruit', 'Smithing Stone (7)', 'Smithing Stone (8)', 'Somber Smithing Stone (8)', ""Adula's Moonblade"", 'Cerulean Amber Medallion +2', 'Dark Moon Greatsword', 'Dragon Heart', 'Golden Rune (9)', 'Golden Rune (10)', ""Ranni's Dark Moon"", 'Starlight Shards', 'Black Knife Tiche']",['Ranni the Witch'],"['Bear', 'Crystalians', 'Crystal Snail', 'Deer', 'Glintstone Dragon', 'Lesser Red Wolf of Radagon', 'Noble Sorcerer', 'Revenant', 'Turtle', 'Wolf', 'Wraith Caller']","['Alecto, Black Knife Ringleader', 'Glintstone Dragon Adula']","Moonlight Altar Map & FragmentsSites of Grace & Sub-LocationsAll NPCs & MerchantsAll Items, Equipment & MagicAll Enemies & Bosses",0
142,Purified Ruins,http://eldenring.wiki.fextralife.com/file/Elden-Ring/purefied-ruins-location-elden-ring-wiki-300px-min-min.jpeg,Liurnia of the Lakes,"['Cuckoo Glintstone', 'Golden Rune (3)', 'Two Fingers Heirloom', 'Foot Soldier Helmet', 'Shabriri Grape']",['Hyetta'],"['Dog', 'Soldier', 'Godrick Knight']",,The holy remains now lie in ruin,0
143,Ranni's Rise,http://eldenring.wiki.fextralife.com/file/Elden-Ring/rannis_rise_locations_elden_ring_wiki_guide.jpg,Liurnia of the Lakes,['Carian Inverted Statue'],"['Blaidd', 'Preceptor Seluvis', 'Ranni the Witch', 'War Counselor Iji']",,,A tower beset by large chunks of glintstone emerging from the ground and penetrating its interiors. Home to a mysterious figure observing The Lands Between.,0
