id,name,effect,weight,value,description,dlc,image
137,Kindred of Rot's Exultation,Effect Raises attack power by 20% for 20 seconds when Poisoning or Rot occurs in the vicinity,0.9,500,"A talisman depicting the exultation of pests. Raises attack power when poisoning or rot occurs in the vicinity. ""Rot for the scarlet goddess. O scarlet blossoms, flourish in distant lands, and return to us, the unwanted children.""",0,https://eldenring.wiki.fextralife.com//file/Elden-Ring/kindred_of_rots_exultation_talisman_elden_ring_wiki_guide_200px.png
138,Lord of Blood's Exultation,Effect Raises attack power by 20% (12% in PvP) for 20 seconds when Blood Loss occurs in the vicinity,0.9,500,"A talisman depicting the exultation of the Lord of Blood. Raises attack power when blood loss occurs in the vicinity. ""Render up you offerings of blood to your Lord. Drench my consort's chamber. Slake his cocoon's thirst. His awakening shall herald the dawn of our dynasty""",0,https://eldenring.wiki.fextralife.com//file/Elden-Ring/lord_of_bloods_exultation_talisman_elden_ring_wiki_guide_200px.png
139,Taker's Cameo,Effect Restores 3% + 30 HP upon defeating enemies,1.0,1000,"A talisman engraved with a stern likeness of Praetor Rykard, master of Volcano Manor. Restores HP upon defeating enemies. When Rykard turned to heresy, taking by force became the rule. The gods themselves were no different, after all.",0,https://eldenring.wiki.fextralife.com//file/Elden-Ring/takers_cameo_talisman_elden_ring_wiki_guide_200px.png
140,Ancestral Spirit's Horn,Effect Restores 3 FP upon defeating enemies,1.2,500,"Item cut from the horns of the Regal Ancestor Spirit. Restore FP upon defeating enemies. A number of new growths bud from the antler-like horns of the fallen king, each glowing with light. Thus does new life grow from death, and from death, one obtains power.",0,https://eldenring.wiki.fextralife.com//file/Elden-Ring/ancestral_spirits_horn_talisman_elden_ring_wiki_guide_200px.png
141,Gold Scarab,Effect Increases Rune acquisition by 20%,1.2,500,"A talisman facsimile of a scarab, the carrier of treasures and precious things. This golden scarab increases the amount of runes obtained from defeating enemies.",0,https://eldenring.wiki.fextralife.com//file/Elden-Ring/gold_scarab_talisman_elden_ring_wiki_guide_200px.png
142,Silver Scarab,Effect Raises Item Discovery by 75,1.2,500,"A talisman facsimile of a scarab, the carrier of treasures and precious things. This silver scarab enhances item discovery.",0,https://eldenring.wiki.fextralife.com//file/Elden-Ring/silver_scarab_talisman_elden_ring_wiki_guide_200px.png
143,Crepus's Vial,Effect Eliminates all sound made by the wearer during movement,0.7,500,Small mysterious bottle with a dark mist sealed within. Eliminates all sound made by the wearer during movement. A ritual implement used by Roundtable Hold assassins. There was a time when Tarnished who had strayed from guidance feared nothing more than utter silence.,0,https://eldenring.wiki.fextralife.com//file/Elden-Ring/crepuss_vial_talisman_elden_ring_wiki_guide_200px.png
144,Concealing Veil,Effect Conceals wearer while crouching away from foes,0.9,500,Talisman put together from dark cloth with a lustrous sheen. Completely conceals the wearer's presence while crouching at a distance from foes. Part of one of the concealing veils used by the assassins on the Night of Black Knives.,0,https://eldenring.wiki.fextralife.com//file/Elden-Ring/concealing_veil_talisman_elden_ring_wiki_guide_200px.png
145,Longtail Cat Talisman,Effect Negates non-lethal Fall Damage,0.6,500,"A brooch depicting Lacrima, the long-tailed cat. Renders the wearer immune to fall damage.However, it cannot prevent falling to one's death. Lacrima features in the fables of Raya Lucaria, in which she is described as a faerie cat who was fond of playing in the great bell tower.",0,https://eldenring.wiki.fextralife.com//file/Elden-Ring/longtail_cat_talisman_talisman_elden_ring_wiki_guide_200px.png
146,Furled Finger's Trick-Mirror,Effect Take on appearance of a Host of Fingers,0.7,1000,"A small, clouded mirror that reflects a flesh-and-blood figure. Makes the bearer take on the appearance of a Host of Fingers One of the ritual implements created by the Tarnished to deceive invaders.",0,https://eldenring.wiki.fextralife.com//file/Elden-Ring/furled_fingers_trick-mirror_talisman_elden_ring_wiki_guide_200px.png
147,Host's Trick-Mirror,Effect Take on appearance of a cooperator,0.7,1000,"A small, clouded mirror that reflects a flesh-and-blood figure. Makes the bearer take on the appearance of a summoned cooperator. One of the ritual implements created by the Tarnished to deceive invaders.",0,https://eldenring.wiki.fextralife.com//file/Elden-Ring/hosts_trick-mirror_talisman_elden_ring_wiki_guide_200px.png
148,Shabriri's Woe,Effect Constantly attracts enemies' aggression,0.6,500,"Disturbing likeness of a man whose eyes have been gouged out.The corners of his mouth are upturned in an almost flirtatious manner. Constantly attracts enemies' aggression. It is said that the man, named Shabriri, had his eyes gouged out as punishment for the crime of slander, and, with time, the blight of the flame of frenzy came to dwell in the empty sockets.",0,https://eldenring.wiki.fextralife.com//file/Elden-Ring/shabriris_woe_talisman_elden_ring_wiki_guide_200px.png
149,Daedicar's Woe,Effect Doubles damage taken,0.8,500,"Disturbing likeness of a woman whose skin was flayed.She smiles with a serene tenderness. Increases damage taken. It is said that this woman, named Daedicar, indulged in every form of adultery and wicked pleasure imaginable, giving birth to a myriad of grotesque children.",0,https://eldenring.wiki.fextralife.com//file/Elden-Ring/daedicars_woe_talisman_elden_ring_wiki_guide_200px.png
150,Sacrificial Twig,Effect Will be lost on death in place of runes.,1.0,1000,"A talisman fashioned from a dried twig, so slender that it might snap at the slightest touch. Prevent rune loss upon death, but will be lost itself in exchange. Believed to be a twig pruned from the Erdtree long, long ago.",0,https://eldenring.wiki.fextralife.com//file/Elden-Ring/sacrificial_twig_talisman_elden_ring_wiki_guide_200px.png
151,Entwining Umbilical Cord,Effect Changes demeanour of wearer's actions,0.5,1000,Mysterious circular object that's oddly warped.Changes the demeanour of the wearer's actions.,0,https://eldenring.wiki.fextralife.com//file/Elden-Ring/entwining_umbilical_cord_talisman_elden_ring_wiki_guide_200px.png
152,Erdtree's Favor,"Increases HP (3%), Stamina (7%), and Equip Load (5%)",1.5,500,"A talisman depicting a special blessing of the Erdtree.Slightly raises maximum HP, stamina, and equip load. It is said that when the Age of the Erdtree began, such blessings were personally bestowed upon their recipients by Queen Marika herself.",0,https://eldenring.wiki.fextralife.com/file/Elden-Ring/erdtrees_favor_elden_ring_wiki_guide_200px.png
153,Erdtree's Favor +1 Variant,"Increases HP (3.5%), Stamina (8.5%), and Equip Load (6.5%)",1.5,1500,"A talisman depicting a special blessing of the Erdtree.Slightly raises maximum HP, stamina, and equip load. It is said that when the Age of the Erdtree began, such blessings were personally bestowed upon their recipients by Queen Marika herself.",0,https://eldenring.wiki.fextralife.com/file/Elden-Ring/erdtrees_favor_elden_ring_wiki_guide_200px.png
154,Erdtree's Favor +2 Variant,"Increases HP (4%), Stamina (10%), and Equip Load (8.0%)",1.5,3000,"A talisman depicting a special blessing of the Erdtree.Slightly raises maximum HP, stamina, and equip load. It is said that when the Age of the Erdtree began, such blessings were personally bestowed upon their recipients by Queen Marika herself.",0,https://eldenring.wiki.fextralife.com/file/Elden-Ring/erdtrees_favor_elden_ring_wiki_guide_200px.png
